Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Average_Estimator
272,127,511,127,127,127,203.8
273,127,511,127,127,127,203.8
274,127,511,127,127,127,203.8
275,127,511,127,127,127,203.8
276,127,511,127,127,127,203.8
277,127,511,127,127,127,203.8
278,127,511,127,127,127,203.8
279,127,511,127,127,127,203.8
280,127,511,127,127,127,203.8
281,127,511,127,127,127,203.8
282,127,511,127,127,127,203.8
283,127,511,127,127,127,203.8
284,127,511,127,127,127,203.8
285,127,511,127,127,127,203.8
286,127,511,127,127,127,203.8
287,127,511,127,127,127,203.8
288,127,511,127,127,127,203.8
289,127,511,127,127,127,203.8
290,127,511,127,127,127,203.8
291,127,511,127,127,127,203.8
292,127,511,127,127,127,203.8
293,127,511,127,127,127,203.8
294,127,511,127,127,127,203.8
295,127,511,127,127,127,203.8
296,127,511,127,127,127,203.8
297,127,511,127,127,127,203.8
298,127,511,127,127,127,203.8
299,127,511,127,127,127,203.8
300,127,511,127,127,127,203.8
301,127,511,127,127,127,203.8
302,127,511,127,127,127,203.8
303,127,511,127,127,127,203.8
304,127,511,127,127,127,203.8
305,127,511,127,127,127,203.8
306,127,511,127,127,127,203.8
307,127,511,127,127,127,203.8
308,127,511,127,127,127,203.8
309,127,511,127,127,127,203.8
310,127,511,127,127,127,203.8
311,127,511,127,127,127,203.8
312,127,511,127,127,127,203.8
313,127,511,127,127,127,203.8
314,127,511,127,127,127,203.8
315,127,511,127,127,127,203.8
316,127,511,127,127,127,203.8
317,127,511,127,127,255,229.4
318,127,511,127,127,255,229.4
319,127,511,127,127,255,229.4
320,127,511,127,127,255,229.4
321,127,511,127,127,255,229.4
322,127,511,127,127,255,229.4
323,127,511,127,127,255,229.4
324,127,511,127,127,255,229.4
325,127,511,127,127,255,229.4
326,127,511,127,127,255,229.4
327,127,511,127,127,255,229.4
328,127,511,127,127,255,229.4
329,127,511,127,127,255,229.4
330,127,511,127,127,255,229.4
331,127,511,127,127,255,229.4
332,127,511,127,127,255,229.4
333,127,511,127,127,255,229.4
334,127,511,127,127,255,229.4
335,127,511,127,127,255,229.4
336,127,511,127,127,255,229.4
337,127,511,127,127,255,229.4
338,127,511,127,127,255,229.4
339,127,511,127,127,255,229.4
340,127,511,127,127,255,229.4
341,127,511,127,127,255,229.4
342,127,511,127,127,255,229.4
343,127,511,127,127,255,229.4
344,127,511,127,127,255,229.4
345,127,511,127,127,255,229.4
346,127,511,127,127,255,229.4
347,127,511,127,127,255,229.4
348,127,511,127,127,255,229.4
349,127,511,127,127,255,229.4
350,127,511,127,127,255,229.4
351,127,511,127,127,255,229.4
352,127,511,127,127,255,229.4
353,127,511,127,127,255,229.4
354,127,511,127,127,255,229.4
355,127,511,127,127,255,229.4
356,127,511,127,127,255,229.4
357,127,511,127,127,255,229.4
358,127,511,127,127,255,229.4
359,127,511,127,127,255,229.4
360,127,1023,127,127,255,331.8
361,127,1023,127,127,255,331.8
362,127,1023,127,127,255,331.8
363,127,1023,127,127,255,331.8
364,127,1023,127,127,255,331.8
365,127,1023,127,127,255,331.8
366,127,1023,127,127,255,331.8
367,127,1023,127,127,255,331.8
368,127,1023,127,127,255,331.8
369,127,1023,127,127,255,331.8
370,127,1023,127,127,255,331.8
371,127,1023,127,127,255,331.8
372,127,1023,127,127,255,331.8
373,127,1023,127,127,255,331.8
374,127,1023,127,127,255,331.8
375,127,1023,255,127,255,357.4
376,127,1023,255,127,255,357.4
377,127,1023,255,127,255,357.4
378,127,1023,255,127,255,357.4
379,127,1023,255,127,255,357.4
380,127,1023,255,127,255,357.4
381,127,1023,255,127,255,357.4
382,127,1023,255,127,255,357.4
383,127,1023,255,127,255,357.4
384,127,1023,255,127,255,357.4
385,127,1023,255,127,255,357.4
386,127,1023,255,127,255,357.4
387,127,1023,255,127,255,357.4
388,127,1023,255,127,255,357.4
389,127,1023,255,127,255,357.4
390,127,1023,255,127,255,357.4
391,127,1023,255,127,255,357.4
392,127,1023,255,127,255,357.4
393,127,1023,255,127,255,357.4
394,127,1023,255,127,255,357.4
395,127,1023,255,127,255,357.4
396,127,1023,255,127,255,357.4
397,127,1023,255,127,255,357.4
398,127,1023,255,127,255,357.4
399,127,1023,255,127,255,357.4
400,127,1023,255,127,255,357.4
401,127,1023,255,127,255,357.4
402,127,1023,255,127,255,357.4
403,127,1023,255,127,255,357.4
404,127,1023,255,127,255,357.4
405,127,1023,255,127,255,357.4
406,127,1023,255,127,255,357.4
407,127,1023,255,127,255,357.4
