Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Average_Estimator
188,63,127,63,63,255,255,127,127,63,63,120.6
189,63,127,63,63,255,255,127,127,63,63,120.6
190,63,127,63,63,255,255,127,127,63,63,120.6
191,63,127,63,63,255,255,127,127,63,63,120.6
192,63,127,63,63,255,255,127,127,63,63,120.6
193,63,127,63,63,255,255,127,127,63,63,120.6
194,127,127,63,63,255,255,127,127,63,63,127
195,127,127,63,63,255,255,255,127,63,63,139.8
196,127,127,63,63,255,255,255,127,63,63,139.8
197,127,127,63,63,255,255,255,127,63,63,139.8
198,127,127,63,63,255,255,255,127,63,63,139.8
199,127,127,63,63,255,255,255,127,63,63,139.8
200,127,127,63,63,255,255,255,127,63,63,139.8
201,127,127,63,63,255,255,255,127,63,63,139.8
202,127,127,63,63,255,255,255,127,63,63,139.8
203,127,127,63,63,255,255,255,127,63,63,139.8
204,127,127,63,63,255,255,255,127,63,63,139.8
205,127,127,63,63,255,255,255,127,63,63,139.8
206,127,127,63,63,255,255,255,127,63,63,139.8
207,127,127,63,63,255,255,255,127,63,63,139.8
208,127,127,63,63,255,255,255,127,63,127,146.2
209,127,127,63,63,255,255,511,127,63,127,171.8
210,127,127,63,63,255,255,511,127,63,127,171.8
211,127,127,63,63,255,255,511,127,63,127,171.8
212,127,127,63,63,255,255,511,127,63,127,171.8
213,127,127,63,63,255,255,511,127,63,127,171.8
214,127,127,63,63,255,255,511,127,63,127,171.8
215,127,127,63,63,255,255,511,127,63,127,171.8
216,127,127,63,63,255,255,511,127,63,127,171.8
217,127,127,63,63,255,255,511,127,63,127,171.8
218,127,127,63,63,255,255,511,127,63,127,171.8
219,127,127,63,63,255,255,511,127,63,127,171.8
220,127,127,63,63,255,255,511,127,63,127,171.8
221,127,127,63,63,255,255,511,127,63,127,171.8
222,127,127,63,63,255,255,511,127,63,127,171.8
223,127,127,63,63,255,255,511,127,63,127,171.8
224,127,127,63,63,255,255,511,127,63,127,171.8
225,127,127,63,63,255,255,511,127,63,127,171.8
226,127,127,63,63,255,255,511,127,63,127,171.8
227,127,127,63,63,255,255,511,127,63,127,171.8
228,127,127,63,63,255,255,511,127,63,127,171.8
229,127,127,63,63,255,255,511,127,63,127,171.8
230,127,127,63,63,255,255,511,127,63,127,171.8
231,127,127,63,63,255,255,511,127,63,127,171.8
232,127,127,63,63,255,255,511,127,63,127,171.8
233,127,127,63,63,255,255,511,127,63,127,171.8
234,127,127,63,63,255,255,511,127,63,127,171.8
235,127,127,63,63,255,255,511,127,63,127,171.8
236,127,127,63,63,255,255,511,127,63,127,171.8
237,127,127,63,63,255,255,511,127,63,127,171.8
238,127,127,63,63,255,255,511,127,63,127,171.8
239,127,127,63,63,255,255,511,127,63,127,171.8
240,127,127,63,63,255,511,511,127,63,127,197.4
241,127,127,63,63,255,511,511,127,63,127,197.4
242,127,127,63,63,255,511,511,127,63,127,197.4
243,127,127,63,63,255,511,511,127,63,127,197.4
244,127,127,63,63,255,511,511,127,63,127,197.4
245,127,127,63,63,255,511,511,127,63,127,197.4
246,127,127,63,63,255,511,511,127,63,127,197.4
247,127,127,63,63,255,511,511,127,63,127,197.4
248,127,127,63,63,255,511,511,127,63,127,197.4
249,127,127,63,63,255,511,511,127,63,127,197.4
250,127,127,63,63,255,511,511,127,63,127,197.4
251,127,127,63,63,255,511,511,127,127,127,203.8
252,127,127,63,63,255,511,511,127,127,127,203.8
253,127,127,63,63,255,511,511,127,127,127,203.8
254,127,127,63,63,255,511,511,127,127,127,203.8
255,127,127,63,63,255,511,511,127,127,127,203.8
256,255,127,63,63,255,511,511,127,127,127,216.6
257,255,127,63,63,255,511,511,127,127,127,216.6
258,255,127,63,63,255,511,511,127,127,127,216.6
259,255,127,63,63,255,511,511,127,127,127,216.6
260,255,127,63,63,255,511,511,127,127,127,216.6
261,255,127,63,63,255,511,511,127,127,127,216.6
262,255,127,63,63,255,511,511,127,127,127,216.6
263,255,127,63,63,255,511,511,127,127,127,216.6
264,255,127,63,63,255,511,511,127,127,127,216.6
265,255,127,63,63,255,511,511,127,127,127,216.6
266,255,127,63,63,255,511,511,127,127,127,216.6
267,255,127,63,63,255,511,511,127,127,127,216.6
268,255,127,63,63,255,511,511,127,127,127,216.6
269,255,127,127,63,255,511,511,127,127,127,223
270,255,127,127,63,255,511,511,127,127,127,223
271,255,127,127,63,255,511,511,127,127,127,223
272,255,127,127,63,255,511,511,127,255,127,235.8
273,255,127,127,63,255,511,511,127,255,127,235.8
