Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Average_Estimator
119,63,127,63,63,63,63,63,127,63,63,63,127,127,127,63,127,127,63,127,255,127,127,63,255,63,103.96
120,63,127,63,63,63,63,63,127,63,63,63,127,127,127,63,127,127,63,127,255,127,127,63,255,63,103.96
121,63,127,63,63,63,63,63,127,63,63,63,127,127,127,63,127,127,63,127,255,127,255,63,255,63,109.08
122,63,127,63,63,63,63,63,127,63,63,63,127,127,127,63,127,127,63,127,255,127,255,63,255,63,109.08
123,63,127,63,63,63,63,63,127,63,63,63,127,127,127,63,127,127,63,127,255,127,255,63,255,63,109.08
124,63,127,63,63,63,63,63,127,63,63,127,127,127,127,63,127,127,63,127,255,127,255,63,255,63,111.64
125,63,127,63,63,63,63,63,127,63,63,127,127,127,127,63,127,127,63,127,255,127,255,63,255,63,111.64
126,63,127,63,63,63,63,63,255,63,63,127,127,127,127,63,127,127,63,127,255,127,255,127,255,63,119.32
127,63,127,63,63,63,63,63,255,63,63,127,127,127,127,63,127,127,63,127,255,127,255,127,255,63,119.32
128,63,127,63,63,63,63,63,255,63,63,127,127,127,127,63,127,127,63,127,255,127,255,127,255,63,119.32
129,63,127,63,63,63,63,63,255,63,63,127,127,127,127,63,127,127,63,127,255,127,255,127,255,63,119.32
130,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,127,255,127,255,127,255,63,121.88
131,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,127,255,127,255,127,255,63,121.88
132,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,127,255,127,255,127,255,63,121.88
133,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,127,255,127,255,127,255,63,121.88
134,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,127,255,127,255,127,255,63,121.88
