Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Estimator_26,Estimator_27,Estimator_28,Estimator_29,Estimator_30,Estimator_31,Estimator_32,Estimator_33,Estimator_34,Estimator_35,Estimator_36,Estimator_37,Estimator_38,Estimator_39,Estimator_40,Estimator_41,Estimator_42,Estimator_43,Estimator_44,Estimator_45,Estimator_46,Estimator_47,Estimator_48,Estimator_49,Estimator_50,Average_Estimator
66,127,63,255,31,63,31,255,31,63,127,63,31,31,63,127,31,31,31,63,63,127,31,63,63,63,31,63,31,15,63,63,63,127,31,31,31,63,63,127,127,31,63,31,127,31,63,31,15,31,255,70.68
67,127,63,255,31,63,63,255,31,63,127,63,31,31,63,127,31,31,31,63,63,127,31,63,63,63,31,63,31,15,63,63,63,127,31,31,31,63,63,127,127,31,63,31,127,31,63,31,15,31,255,71.32
68,127,63,255,31,63,63,255,31,63,127,63,31,31,63,127,31,31,31,63,63,127,31,63,63,63,63,63,31,15,63,63,63,127,31,31,31,63,127,127,127,31,63,31,127,31,63,31,15,31,255,73.24
69,127,63,255,31,63,63,255,31,63,127,63,31,31,63,127,31,31,31,63,63,127,31,63,63,63,63,63,31,15,63,63,63,127,31,31,31,63,127,127,127,31,63,31,127,31,63,31,15,31,255,73.24
70,127,63,255,31,63,63,255,31,63,127,63,31,31,63,127,31,31,31,63,63,127,31,63,63,63,63,63,31,15,63,63,63,127,31,31,31,127,127,127,127,31,63,31,127,31,63,31,15,31,255,74.52
71,127,63,255,31,63,63,255,31,63,127,63,31,31,63,127,31,31,31,63,63,127,31,63,63,63,63,63,31,15,63,63,63,127,31,31,31,127,127,127,127,31,63,31,127,31,63,31,15,31,255,74.52
72,127,63,255,31,63,63,255,31,63,127,63,31,31,63,127,31,31,31,63,63,127,31,63,63,63,63,63,31,15,63,63,63,127,31,31,31,127,127,127,127,31,63,31,127,31,63,31,15,31,255,74.52
73,127,63,255,31,63,63,255,31,63,127,63,31,31,63,127,31,31,63,63,63,127,31,63,63,63,127,63,31,15,63,63,63,127,31,31,63,127,127,127,127,31,63,31,127,31,63,31,15,31,255,77.08
74,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,63,63,127,31,63,63,63,127,63,31,15,63,63,63,127,31,31,63,127,127,127,127,31,63,31,127,31,63,31,15,31,255,77.72
75,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,63,63,127,31,63,63,63,127,63,31,15,63,63,63,127,31,31,63,127,127,127,127,31,63,31,127,31,63,31,15,31,255,77.72
76,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,63,63,127,31,63,63,63,127,63,31,15,63,63,63,127,31,31,63,127,127,127,127,31,63,31,127,31,63,31,15,31,255,77.72
77,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,63,63,127,31,63,63,63,127,63,31,15,63,63,63,127,31,31,63,127,127,127,127,31,63,31,127,31,63,31,15,31,255,77.72
78,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,63,63,127,31,63,63,63,127,63,31,15,63,63,63,127,31,31,63,127,127,127,127,31,63,31,127,31,63,31,15,31,255,77.72
79,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,63,63,127,31,63,63,63,127,63,31,15,63,63,63,127,31,31,63,127,127,127,127,31,63,31,127,31,63,31,15,31,255,77.72
80,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,63,63,127,31,63,63,63,127,127,31,15,63,63,63,127,31,31,63,127,127,127,127,31,63,31,127,31,63,31,31,31,255,79.32
81,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,63,63,127,31,63,63,63,127,127,31,15,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,81.88
82,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,63,63,127,31,63,63,63,127,127,31,15,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,81.88
83,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,127,63,127,31,63,63,63,127,127,31,15,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,83.16
84,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,127,63,127,31,63,63,63,127,127,31,15,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,83.16
85,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,127,63,127,31,63,63,63,127,127,31,31,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,83.48
86,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,255,63,127,31,63,63,63,127,127,31,31,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,86.04
87,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,31,63,255,63,127,31,63,63,63,127,127,31,31,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,86.04
88,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,63,63,255,63,127,31,63,63,63,127,127,31,31,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,86.68
89,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,63,63,255,63,127,31,63,63,63,127,127,31,31,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,86.68
90,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,63,63,255,63,127,31,63,63,63,127,127,31,31,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,86.68
91,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,63,63,255,63,127,31,63,63,127,127,127,63,31,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,88.6
92,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,63,63,255,63,127,31,63,63,127,127,127,63,31,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,88.6
93,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,63,63,255,63,127,31,63,63,127,127,127,63,31,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,88.6
94,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,31,63,63,255,63,127,31,63,63,127,127,127,63,31,63,63,63,127,31,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,88.6
95,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,63,63,63,255,63,127,31,63,63,127,127,127,63,31,63,63,63,127,63,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,89.88
96,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,63,63,63,255,63,127,31,63,63,127,127,127,63,31,63,63,63,127,63,31,63,127,127,127,255,31,63,31,127,31,63,31,31,31,255,89.88
97,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,63,63,63,255,63,127,31,63,63,127,127,127,63,31,63,63,63,127,63,31,63,127,127,127,255,31,63,31,127,31,63,31,31,63,255,90.52
98,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,63,63,63,255,63,127,31,63,63,127,127,127,63,31,63,63,63,127,63,31,63,127,127,127,255,31,63,31,127,31,63,31,31,63,255,90.52
